"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","622","Test GET /users/{id} endpoint [3] 3, 200","","Fri Aug 15 14:17:37 GMT 2025","passed","Fri Aug 15 14:17:38 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByValidId"
"","708","Test GET /users/{id} endpoint with invalid ID [2] -1, 400","","Fri Aug 15 14:17:38 GMT 2025","failed","Fri Aug 15 14:17:39 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByInvalidId"
"","552","Test PUT /products/{id} endpoint with valid data [2] com.example.fakestoreapi.model.Product@28ba90c1, 200","","Fri Aug 15 14:17:32 GMT 2025","passed","Fri Aug 15 14:17:33 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutValidProduct"
"","647","Test GET products by ID endpoint [3] 3, 200","","Fri Aug 15 14:17:24 GMT 2025","passed","Fri Aug 15 14:17:24 GMT 2025","","com.example.fakestoreapi.test.products.GetProductsTests","com.example.fakestoreapi.test.products.GetProductsTests","testGetProductById"
"Test DELETE /users/{id} endpoint with valid IDs","626","testDeleteUser(int, int) [1] 1, 200","","Fri Aug 15 14:17:33 GMT 2025","passed","Fri Aug 15 14:17:34 GMT 2025","","com.example.fakestoreapi.test.users.DeleteUsersTests","com.example.fakestoreapi.test.users.DeleteUsersTests","testDeleteUser"
"","953","Test GET /carts/{id} endpoint with invalid ID [1] 9999, 404","","Fri Aug 15 14:15:48 GMT 2025","failed","Fri Aug 15 14:15:49 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartByInvalidId"
"","729","Verify that user cannot delete a product by invalid ID [1] 9999, 404","","Fri Aug 15 14:17:15 GMT 2025","failed","Fri Aug 15 14:17:16 GMT 2025","","com.example.fakestoreapi.test.products.DeleteProductsTests","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductByInvalidId"
"","765","Test GET /carts/{id} endpoint with invalid ID [2] -1, 400","","Fri Aug 15 14:15:49 GMT 2025","failed","Fri Aug 15 14:15:49 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartByInvalidId"
"","664","Test POST /products endpoint with valid data [2] com.example.fakestoreapi.model.Product@44c141ce, 201","","Fri Aug 15 14:17:28 GMT 2025","passed","Fri Aug 15 14:17:29 GMT 2025","","com.example.fakestoreapi.test.products.PostProductsTests","com.example.fakestoreapi.test.products.PostProductsTests","testPostProduct"
"","657","Test GET /users/{id} endpoint [2] 2, 200","","Fri Aug 15 14:17:36 GMT 2025","passed","Fri Aug 15 14:17:37 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByValidId"
"","783","Test POST carts with invalid data [1] com.example.fakestoreapi.model.Cart@1e029a04, 404","","Fri Aug 15 14:15:53 GMT 2025","failed","Fri Aug 15 14:15:53 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData"
"","642","Test GET /products/{id} response time [3] 3, 200","","Fri Aug 15 14:17:21 GMT 2025","passed","Fri Aug 15 14:17:22 GMT 2025","","com.example.fakestoreapi.test.products.GetProductsTests","com.example.fakestoreapi.test.products.GetProductsTests","testGetProductResponseTime"
"","521","Test POST /products endpoint with invalid data [1] com.example.fakestoreapi.model.Product@1e8f20bf, 400","","Fri Aug 15 14:17:25 GMT 2025","failed","Fri Aug 15 14:17:26 GMT 2025","","com.example.fakestoreapi.test.products.PostProductsTests","com.example.fakestoreapi.test.products.PostProductsTests","testPostProductWithInvalidData"
"","715","Verify that user can delete a product by valid ID [2] 2, 200","","Fri Aug 15 14:17:18 GMT 2025","passed","Fri Aug 15 14:17:19 GMT 2025","","com.example.fakestoreapi.test.products.DeleteProductsTests","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductById"
"","517","Test PUT /products endpoint with invalid data [3] com.example.fakestoreapi.model.Product@1ac32da1, 400","","Fri Aug 15 14:17:30 GMT 2025","failed","Fri Aug 15 14:17:31 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct"
"Test rate limiting","64452","testRateLimiting()","","Fri Aug 15 14:15:58 GMT 2025","passed","Fri Aug 15 14:17:03 GMT 2025","","com.example.fakestoreapi.test.performance.PerformanceTests","com.example.fakestoreapi.test.performance.PerformanceTests","testRateLimiting"
"Test concurrent requests","10075","testConcurrentRequests()","","Fri Aug 15 14:17:03 GMT 2025","passed","Fri Aug 15 14:17:13 GMT 2025","","com.example.fakestoreapi.test.performance.PerformanceTests","com.example.fakestoreapi.test.performance.PerformanceTests","testConcurrentRequests"
"","658","Test GET /users/{id} endpoint with invalid ID [1] 9999, 404","","Fri Aug 15 14:17:38 GMT 2025","failed","Fri Aug 15 14:17:38 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByInvalidId"
"","830","Test GET cart by ID endpoint [1] 1, 200","","Fri Aug 15 14:15:45 GMT 2025","passed","Fri Aug 15 14:15:46 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartById"
"","788","Test POST carts with valid data [2] com.example.fakestoreapi.model.Cart@d271a54, 201","","Fri Aug 15 14:15:51 GMT 2025","passed","Fri Aug 15 14:15:52 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithValidData"
"","566","Test PUT /products endpoint with invalid data [4] com.example.fakestoreapi.model.Product@7aac05e2, 400","","Fri Aug 15 14:17:31 GMT 2025","failed","Fri Aug 15 14:17:31 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct"
"","748","Test POST carts with valid data [3] com.example.fakestoreapi.model.Cart@52d59507, 201","","Fri Aug 15 14:15:52 GMT 2025","passed","Fri Aug 15 14:15:53 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithValidData"
"","571","Test POST /products endpoint with valid data [1] com.example.fakestoreapi.model.Product@aad7ade, 201","","Fri Aug 15 14:17:28 GMT 2025","passed","Fri Aug 15 14:17:28 GMT 2025","","com.example.fakestoreapi.test.products.PostProductsTests","com.example.fakestoreapi.test.products.PostProductsTests","testPostProduct"
"","719","Test Update /users/{id} endpoint with valid data [1] com.example.fakestoreapi.model.User@d4a4ba, 200","","Fri Aug 15 14:17:43 GMT 2025","failed","Fri Aug 15 14:17:44 GMT 2025","","com.example.fakestoreapi.test.users.PutUsersTests","com.example.fakestoreapi.test.users.PutUsersTests","testUpdateValidUser"
"","743","Test Update /carts/{id} endpoint with valid data [1] com.example.fakestoreapi.model.Cart@771d4db, 200","","Fri Aug 15 14:15:55 GMT 2025","passed","Fri Aug 15 14:15:55 GMT 2025","","com.example.fakestoreapi.test.carts.PutCartsTests","com.example.fakestoreapi.test.carts.PutCartsTests","testPutValidCart"
"","1850","Test GET /carts endpoint","","Fri Aug 15 14:15:43 GMT 2025","passed","Fri Aug 15 14:15:45 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","getAllCarts"
"","513","Test PUT /products endpoint with invalid data [1] com.example.fakestoreapi.model.Product@139e291e, 400","","Fri Aug 15 14:17:29 GMT 2025","failed","Fri Aug 15 14:17:30 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct"
"","800","Test GET cart by ID endpoint [3] 3, 200","","Fri Aug 15 14:15:47 GMT 2025","passed","Fri Aug 15 14:15:48 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartById"
"Test response time for GET /users/{id}","788","testGetUserResponseTime(int, int) [2] 2, 200","","Fri Aug 15 14:17:14 GMT 2025","passed","Fri Aug 15 14:17:14 GMT 2025","","com.example.fakestoreapi.test.performance.PerformanceTests","com.example.fakestoreapi.test.performance.PerformanceTests","testGetUserResponseTime"
"","696","Test POST carts with invalid data [2] com.example.fakestoreapi.model.Cart@41f23499, 400","","Fri Aug 15 14:15:53 GMT 2025","failed","Fri Aug 15 14:15:54 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData"
"","645","Test Update /carts/{id} endpoint with valid data [2] com.example.fakestoreapi.model.Cart@7d49a1a0, 200","","Fri Aug 15 14:15:55 GMT 2025","passed","Fri Aug 15 14:15:56 GMT 2025","","com.example.fakestoreapi.test.carts.PutCartsTests","com.example.fakestoreapi.test.carts.PutCartsTests","testPutValidCart"
"","693","Test POST user with valid data [2] com.example.fakestoreapi.model.User@4476ac12, 201","","Fri Aug 15 14:17:41 GMT 2025","failed","Fri Aug 15 14:17:41 GMT 2025","","com.example.fakestoreapi.test.users.PostUsersTests","com.example.fakestoreapi.test.users.PostUsersTests","testPostUserWithValidData"
"","922","Verify that user can delete carts by valid ID [2] 2, 200","","Fri Aug 15 14:15:39 GMT 2025","passed","Fri Aug 15 14:15:40 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByValidId"
"","649","Test Update /users/{id} endpoint with invalid data [1] com.example.fakestoreapi.model.User@7ec416a0, 400","","Fri Aug 15 14:17:44 GMT 2025","failed","Fri Aug 15 14:17:45 GMT 2025","","com.example.fakestoreapi.test.users.PutUsersTests","com.example.fakestoreapi.test.users.PutUsersTests","testUpdateInvalidUser"
"Test response time for GET /users/{id}","608","testGetUserResponseTime(int, int) [1] 1, 200","","Fri Aug 15 14:17:13 GMT 2025","passed","Fri Aug 15 14:17:14 GMT 2025","","com.example.fakestoreapi.test.performance.PerformanceTests","com.example.fakestoreapi.test.performance.PerformanceTests","testGetUserResponseTime"
"","662","Test Update /users/{id} endpoint with invalid data [2] com.example.fakestoreapi.model.User@3a24306e, 400","","Fri Aug 15 14:17:45 GMT 2025","failed","Fri Aug 15 14:17:46 GMT 2025","","com.example.fakestoreapi.test.users.PutUsersTests","com.example.fakestoreapi.test.users.PutUsersTests","testUpdateInvalidUser"
"","696","Test GET /users/{id} endpoint [1] 1, 200","","Fri Aug 15 14:17:36 GMT 2025","passed","Fri Aug 15 14:17:36 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByValidId"
"","512","Test PUT /products endpoint with invalid data [2] com.example.fakestoreapi.model.Product@7dcd8e74, 400","","Fri Aug 15 14:17:30 GMT 2025","failed","Fri Aug 15 14:17:30 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutInvalidProduct"
"","765","Test GET /carts/{id} endpoint with invalid ID [3] 0, 400","","Fri Aug 15 14:15:49 GMT 2025","failed","Fri Aug 15 14:15:50 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartByInvalidId"
"","550","Test PUT /products/{id} endpoint with valid data [3] com.example.fakestoreapi.model.Product@1836228d, 200","","Fri Aug 15 14:17:33 GMT 2025","passed","Fri Aug 15 14:17:33 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutValidProduct"
